,classifier,precision,accuracy,recall,f1,aucurve,prcurve
45,"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
           max_depth=5, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=5,
           min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=-1,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.08539638386648123,0.8325333333333333,0.15026921194322077,0.10890386661936859,0.5163300132041461,"(array([ 0.0681    ,  0.08539638,  1.        ]), array([ 1.        ,  0.15026921,  0.        ]), array([0, 1]))"
46,"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
           max_depth=5, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=5,
           min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=-1,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.0681,0.0681,1.0,0.12751615017320475,0.5,"(array([ 0.0681,  1.    ]), array([ 1.,  0.]), array([1]))"
47,"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
           max_depth=5, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=5,
           min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=-1,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.10367501351107908,0.6385666666666666,0.5633871757219775,0.17512362114872573,0.6037238486185807,"(array([ 0.0681    ,  0.10367501,  1.        ]), array([ 1.        ,  0.56338718,  0.        ]), array([0, 1]))"
48,"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
           max_depth=5, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=5,
           min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=-1,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.0681,0.0681,1.0,0.12751615017320475,0.5,"(array([ 0.0681,  1.    ]), array([ 1.,  0.]), array([1]))"
49,"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
           max_depth=5, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=5,
           min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=-1,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.10040329356410688,0.6148333333333333,0.5849241311796378,0.1713875941197562,0.6009715623169356,"(array([ 0.0681    ,  0.10040329,  1.        ]), array([ 1.        ,  0.58492413,  0.        ]), array([0, 1]))"
50,"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
           max_depth=5, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=5,
           min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=-1,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.06810681068106811,0.0682,1.0,0.12752808988764047,0.5000536538255178,"(array([ 0.06810681,  1.        ]), array([ 1.,  0.]), array([1]))"
51,"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
           max_depth=5, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=5,
           min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=-1,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.08208518115638859,0.5989333333333333,0.4801762114537445,0.1402029441189081,0.543893950416932,"(array([ 0.0681    ,  0.08208518,  1.        ]), array([ 1.        ,  0.48017621,  0.        ]), array([0, 1]))"
52,"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
           max_depth=5, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=5,
           min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=-1,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.2042343883661249,0.8397,0.46744982868330887,0.28426849233516893,0.6671762860911268,"(array([ 0.0681    ,  0.20423439,  1.        ]), array([ 1.        ,  0.46744983,  0.        ]), array([0, 1]))"
53,"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
           max_depth=5, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=5,
           min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=-1,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.447035309793471,0.9266,0.32843857072931965,0.37866817155756205,0.6493750603047463,"(array([ 0.0681    ,  0.44703531,  1.        ]), array([ 1.        ,  0.32843857,  0.        ]), array([0, 1]))"
54,"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
           max_depth=5, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=5,
           min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=-1,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.09429088090932576,0.5131,0.714635340186001,0.16660010269869344,0.6065039204059811,"(array([ 0.0681    ,  0.09429088,  1.        ]), array([ 1.        ,  0.71463534,  0.        ]), array([0, 1]))"
55,"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
           max_depth=5, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=5,
           min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=-1,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.40772818121252496,0.9226666666666666,0.29955947136563876,0.34537246049661396,0.6338803187210567,"(array([ 0.0681    ,  0.40772818,  1.        ]), array([ 1.        ,  0.29955947,  0.        ]), array([0, 1]))"
56,"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
           max_depth=5, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=5,
           min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=-1,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.286783042394015,0.8977,0.3377386196769457,0.3101820633850304,0.6381793216423144,"(array([ 0.0681    ,  0.28678304,  1.        ]), array([ 1.        ,  0.33773862,  0.        ]), array([0, 1]))"
57,"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
           max_depth=5, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=5,
           min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=-1,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.4418604651162791,0.9260666666666667,0.3255017131669114,0.37485907553551295,0.6477277854384831,"(array([ 0.0681    ,  0.44186047,  1.        ]), array([ 1.        ,  0.32550171,  0.        ]), array([0, 1]))"
58,"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
           max_depth=5, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=5,
           min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=-1,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.087168302435478,0.5533333333333333,0.5868820362212432,0.15179136599569565,0.5688818737102925,"(array([ 0.0681   ,  0.0871683,  1.       ]), array([ 1.        ,  0.58688204,  0.        ]), array([0, 1]))"
59,"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
           max_depth=5, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=5,
           min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=-1,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.4374586366644606,0.9256,0.3235438081253059,0.3719752391671356,0.6465699868326211,"(array([ 0.0681    ,  0.43745864,  1.        ]), array([ 1.        ,  0.32354381,  0.        ]), array([0, 1]))"
60,"AdaBoostClassifier(algorithm='SAMME.R',
          base_estimator=DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=1,
            max_features=None, max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=2, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best'),
          learning_rate=1.0, n_estimators=10, random_state=None)",0.4176085663295657,0.9226666666666666,0.3436123348017621,0.37701396348012894,0.6542971356735855,"(array([ 0.0681    ,  0.41760857,  1.        ]), array([ 1.        ,  0.34361233,  0.        ]), array([0, 1]))"
61,"AdaBoostClassifier(algorithm='SAMME.R',
          base_estimator=DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=1,
            max_features=None, max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=2, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best'),
          learning_rate=1.0, n_estimators=10, random_state=None)",0.4265255292652553,0.9240333333333334,0.3352912383749388,0.3754453274869827,0.6511738947535172,"(array([ 0.0681    ,  0.42652553,  1.        ]), array([ 1.        ,  0.33529124,  0.        ]), array([0, 1]))"
62,"AdaBoostClassifier(algorithm='SAMME.R',
          base_estimator=DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=1,
            max_features=None, max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=2, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best'),
          learning_rate=1.0, n_estimators=10, random_state=None)",0.4176085663295657,0.9226666666666666,0.3436123348017621,0.37701396348012894,0.6542971356735855,"(array([ 0.0681    ,  0.41760857,  1.        ]), array([ 1.        ,  0.34361233,  0.        ]), array([0, 1]))"
63,"AdaBoostClassifier(algorithm='SAMME.R',
          base_estimator=DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=1,
            max_features=None, max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=2, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best'),
          learning_rate=1.0, n_estimators=10, random_state=None)",0.46998722860791825,0.9287666666666666,0.3602545276554087,0.4078692158492657,0.6652830387677909,"(array([ 0.0681    ,  0.46998723,  1.        ]), array([ 1.        ,  0.36025453,  0.        ]), array([0, 1]))"
64,"GradientBoostingClassifier(init=None, learning_rate=0.01, loss='deviance',
              max_depth=3, max_features=None, max_leaf_nodes=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=10,
              presort='auto', random_state=None, subsample=0.5, verbose=0,
              warm_start=False)",0.4176085663295657,0.9226666666666666,0.3436123348017621,0.37701396348012894,0.6542971356735855,"(array([ 0.0681    ,  0.41760857,  1.        ]), array([ 1.        ,  0.34361233,  0.        ]), array([0, 1]))"
65,"GradientBoostingClassifier(init=None, learning_rate=0.01, loss='deviance',
              max_depth=3, max_features=None, max_leaf_nodes=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=10,
              presort='auto', random_state=None, subsample=0.5, verbose=0,
              warm_start=False)",0.4176085663295657,0.9226666666666666,0.3436123348017621,0.37701396348012894,0.6542971356735855,"(array([ 0.0681    ,  0.41760857,  1.        ]), array([ 1.        ,  0.34361233,  0.        ]), array([0, 1]))"
66,"GradientBoostingClassifier(init=None, learning_rate=0.01, loss='deviance',
              max_depth=3, max_features=None, max_leaf_nodes=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=10,
              presort='auto', random_state=None, subsample=0.5, verbose=0,
              warm_start=False)",0.4176085663295657,0.9226666666666666,0.3436123348017621,0.37701396348012894,0.6542971356735855,"(array([ 0.0681    ,  0.41760857,  1.        ]), array([ 1.        ,  0.34361233,  0.        ]), array([0, 1]))"
67,"GradientBoostingClassifier(init=None, learning_rate=0.01, loss='deviance',
              max_depth=3, max_features=None, max_leaf_nodes=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=10,
              presort='auto', random_state=None, subsample=0.5, verbose=0,
              warm_start=False)",0.4176085663295657,0.9226666666666666,0.3436123348017621,0.37701396348012894,0.6542971356735855,"(array([ 0.0681    ,  0.41760857,  1.        ]), array([ 1.        ,  0.34361233,  0.        ]), array([0, 1]))"
68,"GradientBoostingClassifier(init=None, learning_rate=0.01, loss='deviance',
              max_depth=3, max_features=None, max_leaf_nodes=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=10,
              presort='auto', random_state=None, subsample=0.5, verbose=0,
              warm_start=False)",0.4397358282883875,0.9246,0.3910915320606951,0.4139896373056995,0.6773392345713213,"(array([ 0.0681    ,  0.43973583,  1.        ]), array([ 1.        ,  0.39109153,  0.        ]), array([0, 1]))"
69,"GradientBoostingClassifier(init=None, learning_rate=0.01, loss='deviance',
              max_depth=3, max_features=None, max_leaf_nodes=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=10,
              presort='auto', random_state=None, subsample=0.5, verbose=0,
              warm_start=False)",0.3316815328708292,0.8979333333333334,0.491434165442976,0.39605522682445754,0.7095365197140123,"(array([ 0.0681    ,  0.33168153,  1.        ]), array([ 1.        ,  0.49143417,  0.        ]), array([0, 1]))"
70,"GradientBoostingClassifier(init=None, learning_rate=0.01, loss='deviance',
              max_depth=3, max_features=None, max_leaf_nodes=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=10,
              presort='auto', random_state=None, subsample=0.5, verbose=0,
              warm_start=False)",0.4676681907250163,0.9286,0.3504650024473813,0.40067151650811417,0.660656545291366,"(array([ 0.0681    ,  0.46766819,  1.        ]), array([ 1.      ,  0.350465,  0.      ]), array([0, 1]))"
71,"GradientBoostingClassifier(init=None, learning_rate=0.01, loss='deviance',
              max_depth=3, max_features=None, max_leaf_nodes=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=10,
              presort='auto', random_state=None, subsample=0.5, verbose=0,
              warm_start=False)",0.4681818181818182,0.9286333333333333,0.35291238374938816,0.40245604242255095,0.6618086975083457,"(array([ 0.0681    ,  0.46818182,  1.        ]), array([ 1.        ,  0.35291238,  0.        ]), array([0, 1]))"
72,"GradientBoostingClassifier(init=None, learning_rate=0.01, loss='deviance',
              max_depth=3, max_features=None, max_leaf_nodes=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=10,
              presort='auto', random_state=None, subsample=0.5, verbose=0,
              warm_start=False)",0.4176085663295657,0.9226666666666666,0.3436123348017621,0.37701396348012894,0.6542971356735855,"(array([ 0.0681    ,  0.41760857,  1.        ]), array([ 1.        ,  0.34361233,  0.        ]), array([0, 1]))"
73,"GradientBoostingClassifier(init=None, learning_rate=0.01, loss='deviance',
              max_depth=3, max_features=None, max_leaf_nodes=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=10,
              presort='auto', random_state=None, subsample=0.5, verbose=0,
              warm_start=False)",0.4176085663295657,0.9226666666666666,0.3436123348017621,0.37701396348012894,0.6542971356735855,"(array([ 0.0681    ,  0.41760857,  1.        ]), array([ 1.        ,  0.34361233,  0.        ]), array([0, 1]))"
74,"GradientBoostingClassifier(init=None, learning_rate=0.01, loss='deviance',
              max_depth=3, max_features=None, max_leaf_nodes=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=10,
              presort='auto', random_state=None, subsample=0.5, verbose=0,
              warm_start=False)",0.4176085663295657,0.9226666666666666,0.3436123348017621,0.37701396348012894,0.6542971356735855,"(array([ 0.0681    ,  0.41760857,  1.        ]), array([ 1.        ,  0.34361233,  0.        ]), array([0, 1]))"
75,"GradientBoostingClassifier(init=None, learning_rate=0.01, loss='deviance',
              max_depth=3, max_features=None, max_leaf_nodes=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=10,
              presort='auto', random_state=None, subsample=0.5, verbose=0,
              warm_start=False)",0.4176085663295657,0.9226666666666666,0.3436123348017621,0.37701396348012894,0.6542971356735855,"(array([ 0.0681    ,  0.41760857,  1.        ]), array([ 1.        ,  0.34361233,  0.        ]), array([0, 1]))"
76,"GradientBoostingClassifier(init=None, learning_rate=0.01, loss='deviance',
              max_depth=3, max_features=None, max_leaf_nodes=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=10,
              presort='auto', random_state=None, subsample=0.5, verbose=0,
              warm_start=False)",0.42022357723577236,0.9214333333333333,0.40479686735193343,0.412365993517826,0.6819920953707123,"(array([ 0.0681    ,  0.42022358,  1.        ]), array([ 1.        ,  0.40479687,  0.        ]), array([0, 1]))"
77,"GradientBoostingClassifier(init=None, learning_rate=0.01, loss='deviance',
              max_depth=3, max_features=None, max_leaf_nodes=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=10,
              presort='auto', random_state=None, subsample=0.5, verbose=0,
              warm_start=False)",0.3406631762652705,0.9014666666666666,0.4777288301517376,0.3977180114099429,0.7050803896081862,"(array([ 0.0681    ,  0.34066318,  1.        ]), array([ 1.        ,  0.47772883,  0.        ]), array([0, 1]))"
78,"GradientBoostingClassifier(init=None, learning_rate=0.01, loss='deviance',
              max_depth=3, max_features=None, max_leaf_nodes=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=10,
              presort='auto', random_state=None, subsample=0.5, verbose=0,
              warm_start=False)",0.474034620505992,0.9293,0.34850709740577585,0.40169252468265165,0.6601247079832112,"(array([ 0.0681    ,  0.47403462,  1.        ]), array([ 1.       ,  0.3485071,  0.       ]), array([0, 1]))"
79,"GradientBoostingClassifier(init=None, learning_rate=0.01, loss='deviance',
              max_depth=3, max_features=None, max_leaf_nodes=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=10,
              presort='auto', random_state=None, subsample=0.5, verbose=0,
              warm_start=False)",0.46594525779758117,0.9283333333333333,0.35829662261380324,0.40509131156613165,0.664143124770435,"(array([ 0.0681    ,  0.46594526,  1.        ]), array([ 1.        ,  0.35829662,  0.        ]), array([0, 1]))"
80,GaussianNB(),0.27781479013990673,0.9096666666666666,0.20411160058737152,0.2353273137697517,0.5826688846732687,"(array([ 0.0681    ,  0.27781479,  1.        ]), array([ 1.       ,  0.2041116,  0.       ]), array([0, 1]))"
81,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=1,
            max_features='log2', max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=5, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')",0.4176085663295657,0.9226666666666666,0.3436123348017621,0.37701396348012894,0.6542971356735855,"(array([ 0.0681    ,  0.41760857,  1.        ]), array([ 1.        ,  0.34361233,  0.        ]), array([0, 1]))"
82,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=1,
            max_features='log2', max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=5, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')",0.4176085663295657,0.9226666666666666,0.3436123348017621,0.37701396348012894,0.6542971356735855,"(array([ 0.0681    ,  0.41760857,  1.        ]), array([ 1.        ,  0.34361233,  0.        ]), array([0, 1]))"
83,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=1,
            max_features='log2', max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=5, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')",0.0681,0.0681,1.0,0.12751615017320475,0.5,"(array([ 0.0681,  1.    ]), array([ 1.,  0.]), array([1]))"
84,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=1,
            max_features='log2', max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=5, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')",0.0681,0.0681,1.0,0.12751615017320475,0.5,"(array([ 0.0681,  1.    ]), array([ 1.,  0.]), array([1]))"
85,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=1,
            max_features='log2', max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=5, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')",0.20440453282018387,0.8397333333333333,0.4679393049437102,0.2845238095238095,0.6674210242213274,"(array([ 0.0681    ,  0.20440453,  1.        ]), array([ 1.       ,  0.4679393,  0.       ]), array([0, 1]))"
86,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=1,
            max_features='log2', max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=5, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')",0.20440453282018387,0.8397333333333333,0.4679393049437102,0.2845238095238095,0.6674210242213274,"(array([ 0.0681    ,  0.20440453,  1.        ]), array([ 1.       ,  0.4679393,  0.       ]), array([0, 1]))"
87,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=1,
            max_features='log2', max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=5, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')",0.17158981748318924,0.7495666666666667,0.6994615761135585,0.2755761257352232,0.7263448739744386,"(array([ 0.0681    ,  0.17158982,  1.        ]), array([ 1.        ,  0.69946158,  0.        ]), array([0, 1]))"
88,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=1,
            max_features='log2', max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=5, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')",0.20440453282018387,0.8397333333333333,0.4679393049437102,0.2845238095238095,0.6674210242213274,"(array([ 0.0681    ,  0.20440453,  1.        ]), array([ 1.       ,  0.4679393,  0.       ]), array([0, 1]))"
